,coef,std err,t,P>|t|,[0.025,0.975]
Intercept,0.5023,0.018000000000000002,28.142,0.0,0.467,0.537
Metro_ind,0.0488,0.008,6.205,0.0,0.033,0.064
Farm_ind,-0.0152,0.009000000000000001,-1.636,0.102,-0.033,0.003
Policy_ind,-0.0232,0.006999999999999999,-3.488,0.0,-0.036000000000000004,-0.01
FED_USDA_Amount,1.796e-10,3.4e-11,5.287000000000001,0.0,1.13e-10,2.46e-10
np.log(HHS_SAIPE_Poverty_Rate),-0.1576,0.009000000000000001,-17.652,0.0,-0.175,-0.14
DEM_2020Census_HousingUnits_Total,1.188e-07,2.44e-08,4.878,0.0,7.110000000000001e-08,1.67e-07
